ID	Domain	Phylum	Class	Order	Family	Genus	Species	Confidence	Length	Assigned_reads	Relative_abundance
MJIH01000001.945367.946901	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Peptostreptococcales-Tissierellales	g__Peptoniphilus	s__Peptoniphilus_grossensis	0.9908901747940667	1535	5371	0.537512
AYNH01000028.46495.47932	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Plautia_stali	0.7652680893433063	1438	3	0.000300
LZEC01000082.1.1436	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Erwiniaceae	g__Pantoea	s__Plautia_stali	0.7161158783516138	1436	31	0.003102
1774|JF127027.1.1354	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Pseudopropionibacterium_propionicum	0.8920458624259767	1354	59	0.005905
FJ957836.1.1455	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Propionibacteriales	f__Propionibacteriaceae	g__Cutibacterium	s__Pseudopropionibacterium_propionicum	0.857292217520915	1455	115	0.011509
2126|KX156172.1.1231	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Raoultella_ornithinolytica	0.8794661548868691	1231	69	0.006905
667|AY960567.1.1475	d__Bacteria	p__Firmicutes	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospiraceae_UCG-008	s__Ruminococcus_sp.	0.9997627816071609	1475	46	0.004604
KX301282.1.1243	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Serratia_marcescens	0.9999931308807699	1243	5	0.000500
1335|MK024278.1.1395	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_epidermidis	0.9134241229624952	1395	1	0.000100
1343|MIZO01000018.2676.4069	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_epidermidis	0.7265598344500731	1394	11	0.001101
181|CP024437.1889138.1890684	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_epidermidis	0.8211918687992386	1547	512	0.051239
2067|MH447004.1.1258	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_epidermidis	0.7645627547133731	1258	1	0.000100
4|CHET01000068.50.2021	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_epidermidis	0.8023084311082325	1972	981	0.098175
MH997751.1.1366	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_epidermidis	0.7629277388530126	1366	1	0.000100
2145|KJ564272.1.1220	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_hominis	0.9878146782012639	1220	51	0.005104
2009|MG162646.1.1290	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_sp.	0.830100156022763	1290	26	0.002602
2011|MG162629.1.1288	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_sp.	0.7637911698025498	1288	12	0.001201
2050|MG162650.1.1265	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_sp.	0.9478079946649584	1265	82	0.008206
2142|MG162679.1.1223	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_sp.	0.9686990026222508	1223	25	0.002502
2156|MG162651.1.1216	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus_sp.	0.8757226817817293	1216	21	0.002102
921|KC699192.1.1450	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_parauberis	0.7158718762036983	1450	41	0.004103
LQCG01000007.381521.383064	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__Streptomyces_canus	0.9999438242138602	1544	1	0.000100
MOEP01000239.2658.4181	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__Streptomyces_cinnamoneus	0.9910597580814984	1524	6671	0.667611
1185|GQ138425.1.1416	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__uncultured_bacterium	0.9032317630509863	1416	418	0.041832
1189|JQ448849.1.1415	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__uncultured_bacterium	0.9863874256424058	1415	14	0.001401
1265|FJ557792.1.1403	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__uncultured_bacterium	0.9182039307986003	1403	37	0.003703
1305|EU771783.1.1399	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Solibacillus	s__uncultured_bacterium	0.8918007129420347	1399	16	0.001601
1307|EU775673.1.1399	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Escherichia-Shigella	s__uncultured_bacterium	0.8628907913500539	1399	5	0.000500
1410|KF085839.1.1383	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.7971049867582054	1383	1	0.000100
1420|JQ449823.1.1382	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__uncultured_bacterium	0.9794342908110554	1382	1	0.000100
1424|KF089512.1.1382	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8464294773366275	1382	6	0.000600
1442|KF084415.1.1380	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.7944177870739738	1380	29	0.002902
1471|JF092715.1.1377	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.7986702776114611	1377	18	0.001801
1480|HM265737.1.1376	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.7996739605162656	1376	26	0.002602
1490|KF079788.1.1376	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.841499511239937	1376	2	0.000200
1491|KF080250.1.1376	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.7162590434489832	1376	17	0.001701
1492|KF085923.1.1376	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8577163320517281	1376	3	0.000300
1493|KF095027.1.1376	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8329941172204437	1376	1	0.000100
1502|JF116550.1.1375	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8357271692125113	1375	9	0.000901
1504|KF066423.1.1375	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8561011920013496	1375	1	0.000100
1508|KF098417.1.1375	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.7775360417661223	1375	14	0.001401
1523|JF044308.1.1374	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8835282012457141	1374	11	0.001101
1528|JF123712.1.1374	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8553846764620304	1374	3	0.000300
1530|JF148804.1.1374	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8442083297980956	1374	11	0.001101
1534|JF225097.1.1374	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.777075469941057	1374	6	0.000600
1536|KF066836.1.1374	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.9436794436200749	1374	43	0.004303
1540|KF083134.1.1374	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8341794589418743	1374	3	0.000300
1541|KF083467.1.1374	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.779087896055856	1374	3	0.000300
1542|KF084259.1.1374	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8580019593448015	1374	1	0.000100
1544|KF099569.1.1374	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.9287139664378242	1374	1	0.000100
1554|HM263834.1.1373	d__Bacteria	p__Firmicutes	c__Bacilli	o__Staphylococcales	f__Staphylococcaceae	g__Staphylococcus	s__uncultured_bacterium	0.8904477438801006	1373	16	0.001601
1558|JF141642.1.1373	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella	s__uncultured_bacterium	0.9877924662349387	1373	31	0.003102
